section,group,order,role,wix_id,original_url,local_path
illustrations,illustrations,6,artwork,fdc35e_31c94c98c69641b4bb130ef862fad734,https://static.wixstatic.com/media/fdc35e_31c94c98c69641b4bb130ef862fad734~mv2.jpg,media/illustrations/illustrations/illustrations-06.jpg
illustrations,illustrations,7,artwork,fdc35e_5282255b97924f26b742dfe34629e1b2,https://static.wixstatic.com/media/fdc35e_5282255b97924f26b742dfe34629e1b2~mv2.jpg,media/illustrations/illustrations/illustrations-07.jpg
interviews,,1,video-poster,fdc35e_01220efec416450e85ec44f345ec342af001,https://static.wixstatic.com/media/fdc35e_01220efec416450e85ec44f345ec342af001.jpg,media/interviews/interview-01-poster.jpg
interviews,,2,video-poster,fdc35e_4e8be8670658458d9a7706f7ac5db64ff000,https://static.wixstatic.com/media/fdc35e_4e8be8670658458d9a7706f7ac5db64ff000.jpg,media/interviews/interview-02-poster.jpg
interviews,,3,video-poster,fdc35e_a316902c932142649d25037cb9e6eeb5f001,https://static.wixstatic.com/media/fdc35e_a316902c932142649d25037cb9e6eeb5f001.jpg,media/interviews/interview-03-poster.jpg
interviews,,4,video-poster,fdc35e_d034e48a0a3b4319ac05ef0e43a5d806f001,https://static.wixstatic.com/media/fdc35e_d034e48a0a3b4319ac05ef0e43a5d806f001.jpg,media/interviews/interview-04-poster.jpg
interviews,,5,video-poster,fdc35e_7467d6aed63140e2b50843e36790c812f002,https://static.wixstatic.com/media/fdc35e_7467d6aed63140e2b50843e36790c812f002.jpg,media/interviews/interview-05-poster.jpg
site,,1,about-portrait,fdc35e_7f3ba1e815d144498eef8ebfb483b4af,https://static.wixstatic.com/media/fdc35e_7f3ba1e815d144498eef8ebfb483b4af~mv2.jpg,media/site/about-portrait.jpg
site,,2,contact-image,fdc35e_875147298cb845bb91364f4a043bff02,https://static.wixstatic.com/media/fdc35e_875147298cb845bb91364f4a043bff02~mv2.jpg,media/site/contact.jpg
site,,3,home-hero,fdc35e_c92f09fe42d54d898ccccc49402aa6d7,https://static.wixstatic.com/media/fdc35e_c92f09fe42d54d898ccccc49402aa6d7~mv2.jpg,media/site/home-hero.jpg
site,,4,social-share-og,fdc35e_0c4db4e4a2c04d68ac8f1fadc12b132c,https://static.wixstatic.com/media/fdc35e_0c4db4e4a2c04d68ac8f1fadc12b132c~mv2.jpg,media/site/og-image.jpg
exhibitions-landing,the-third-eye-2021,1,grid-thumbnail (6.jpg),fdc35e_88a84b221f224618b2bcf8ceacf1894a,https://static.wixstatic.com/media/fdc35e_88a84b221f224618b2bcf8ceacf1894a~mv2.jpg,media/site/landing-thumbs/thumb-01.jpg
exhibitions-landing,sakan-2019,2,grid-thumbnail (2.jpg),fdc35e_34fe06c5e77241f9b19b3c6f608db17f,https://static.wixstatic.com/media/fdc35e_34fe06c5e77241f9b19b3c6f608db17f~mv2.jpg,media/site/landing-thumbs/thumb-02.jpg
exhibitions-landing,unconfirmed,3,grid-thumbnail (main.jpg),fdc35e_f5c8e227c6044bb1aa794a2c5f0aed4a,https://static.wixstatic.com/media/fdc35e_f5c8e227c6044bb1aa794a2c5f0aed4a~mv2_d_2988_1946_s_2.jpg,media/site/landing-thumbs/thumb-03.jpg
exhibitions-landing,soul-2016,4,grid-thumbnail (24.jpg),fdc35e_e28469cebe1b4623a23928649e6479b8,https://static.wixstatic.com/media/fdc35e_e28469cebe1b4623a23928649e6479b8~mv2.jpg,media/site/landing-thumbs/thumb-04.jpg
exhibitions-landing,unconfirmed,5,grid-thumbnail (IMG_6325.JPG),fdc35e_db29fc97a84f4f2da16f755e949bf090,https://static.wixstatic.com/media/fdc35e_db29fc97a84f4f2da16f755e949bf090~mv2.jpg,media/site/landing-thumbs/thumb-05.jpg
exhibitions-landing,unconfirmed,6,grid-thumbnail ((no name)),fdc35e_5152ca9be75544d0941c7ace8c41008f,https://static.wixstatic.com/media/fdc35e_5152ca9be75544d0941c7ace8c41008f~mv2.jpg,media/site/landing-thumbs/thumb-06.jpg
exhibitions-landing,unconfirmed,7,grid-thumbnail (zat),fdc35e_d89e0c3bc85849f8a630169224b3dcd2,https://static.wixstatic.com/media/fdc35e_d89e0c3bc85849f8a630169224b3dcd2~mv2.jpg,media/site/landing-thumbs/thumb-07.jpg
exhibitions-landing,unconfirmed,8,grid-thumbnail (Screen Shfeot 2025-06-05...jpg),fdc35e_e8c7bd9d33924680bbd5221474bbef10,https://static.wixstatic.com/media/fdc35e_e8c7bd9d33924680bbd5221474bbef10~mv2.jpg,media/site/landing-thumbs/thumb-08.jpg
